Name,x,y,normal,undiff,well_diff,Class
Tile 9073,44526.0,35856.0,4.439185327111909E-15,4.896608953134122E-15,1.0,well_diff
Tile 9074,44526.0,36368.0,5.067585240325911E-10,5.391628810080817E-10,1.0,well_diff
Tile 9075,44526.0,36880.0,7.315898781961108E-14,8.06848281221205E-14,1.0,well_diff
Tile 9076,44526.0,37392.0,4.6536075615222217E-7,4.847716468248109E-7,0.9999990463256836,well_diff
Tile 9078,44526.0,38416.0,1.6804812185000628E-4,1.712444645818323E-4,0.9996607303619385,well_diff
Tile 9079,44526.0,38928.0,6.000080987611511E-11,6.413005543270955E-11,1.0,well_diff
Tile 9080,44526.0,39440.0,9.88047310634954E-10,1.0488061530367077E-9,1.0,well_diff
Tile 9081,44526.0,39952.0,4.0216921479441226E-4,0.04542868211865425,0.9541690945625305,well_diff
Tile 9082,44526.0,40464.0,1.5414132779412518E-14,1.6999002574492883E-14,1.0,well_diff
Tile 9088,44526.0,43536.0,2.026248309763834E-12,2.183875042610639E-12,1.0,well_diff
Tile 9089,44526.0,44048.0,6.587478340591701E-10,6.867567625690185E-10,1.0,well_diff
Tile 9090,44526.0,44560.0,1.308746249151227E-7,1.3526336317681853E-7,0.9999997615814209,well_diff
Tile 9091,44526.0,45072.0,3.479984513887757E-7,3.594946349494421E-7,0.9999992847442627,well_diff
Tile 9096,44526.0,47632.0,2.576975248302915E-6,2.7466105620987946E-6,0.9999946355819702,well_diff
Tile 9097,44526.0,48144.0,9.560545410902677E-11,1.050661571633249E-10,1.0,well_diff
Tile 9099,44526.0,49680.0,6.403858780062999E-12,6.957332279733386E-12,1.0,well_diff
Tile 9101,44526.0,50704.0,1.4649580160064346E-11,1.5840424458235525E-11,1.0,well_diff
Tile 9109,44526.0,54800.0,0.0019371298840269446,0.001966744428500533,0.9960960745811462,well_diff
Tile 9110,44526.0,55312.0,1.4390226857341482E-11,1.5570707917467175E-11,1.0,well_diff
Tile 9111,44526.0,55824.0,2.7669550678455224E-12,3.0056217931173634E-12,1.0,well_diff
Tile 9112,44526.0,56336.0,2.409488217836042E-7,2.528433071802283E-7,0.9999995231628418,well_diff
Tile 9113,44526.0,56848.0,5.162315801499062E-7,5.401795988291269E-7,0.999998927116394,well_diff
Tile 9115,44526.0,57872.0,4.2665426747134916E-11,4.605900383314321E-11,1.0,well_diff
Tile 9116,44526.0,58384.0,6.910329513470925E-12,7.484400252333323E-12,1.0,well_diff
Tile 9118,44526.0,59408.0,1.068547135218978E-5,1.1063350029871799E-5,0.9999781847000122,well_diff
Tile 9119,44526.0,59920.0,7.096205372363329E-4,7.21829361282289E-4,0.9985685348510742,well_diff
Tile 9121,44526.0,60944.0,2.1753661712864414E-5,2.2461861590272747E-5,0.9999558925628662,well_diff
Tile 9122,44526.0,61456.0,3.1885338119819195E-11,3.466399389751018E-11,1.0,well_diff
Tile 9123,44526.0,61968.0,2.152200816448271E-15,2.394121684755335E-15,1.0,well_diff
Tile 9124,44526.0,62480.0,2.7487949409987777E-5,2.820474583131727E-5,0.9999442100524902,well_diff
Tile 9129,44526.0,65040.0,1.1662470569717698E-5,1.2018456800433341E-5,0.9999762773513794,well_diff
Tile 9131,44526.0,66064.0,1.2666027948693426E-10,1.3657051878279702E-10,1.0,well_diff
Tile 9134,44526.0,67600.0,2.0834111345846562E-12,2.2799893483610445E-12,1.0,well_diff
Tile 9135,44526.0,68112.0,1.925405967995175E-6,2.0083375602553133E-6,0.9999960660934448,well_diff
Tile 9137,44526.0,69136.0,7.13488475412305E-7,7.346761776716448E-7,0.9999985694885254,well_diff
Tile 9138,44526.0,69648.0,0.0030137740541249514,0.003061712719500065,0.9939244389533997,well_diff
Tile 9145,44526.0,73232.0,1.6253102184767194E-15,1.811912953185381E-15,1.0,well_diff
Tile 9146,44526.0,73744.0,1.9806140699074604E-5,2.047129237325862E-5,0.9999597072601318,well_diff
Tile 9147,44526.0,74256.0,4.156753066753005E-11,4.4841949597973496E-11,1.0,well_diff
Tile 9148,44526.0,74768.0,1.0383603523334077E-16,1.1596967632364021E-16,1.0,well_diff
Tile 9149,44526.0,75280.0,2.421122680118515E-8,2.5581565310517362E-8,1.0,well_diff
Tile 9150,44526.0,75792.0,1.1153393764118391E-9,1.1883850570271193E-9,1.0,well_diff
Tile 9151,44526.0,76304.0,6.880680920862137E-13,7.546752394012313E-13,1.0,well_diff
Tile 9152,44526.0,76816.0,1.2179422401170648E-11,1.315408372504212E-11,1.0,well_diff
Tile 9153,44526.0,77328.0,0.006779931485652924,0.006826160941272974,0.9863938689231873,well_diff
Tile 9154,44526.0,77840.0,2.141679433407262E-4,2.1925097098574042E-4,0.9995666146278381,well_diff
Tile 9156,44526.0,78864.0,8.346086360688787E-6,8.649974915897474E-6,0.9999829530715942,well_diff
Tile 9157,44526.0,79376.0,3.7651734601240605E-6,3.924944394384511E-6,0.9999922513961792,well_diff
Tile 9169,44526.0,85520.0,1.8994152028994904E-8,1.9557843344841785E-8,1.0,well_diff
Tile 9170,44526.0,86032.0,3.594790784489099E-11,3.855632479954352E-11,1.0,well_diff
Tile 9172,44526.0,87056.0,1.5601222003169823E-7,1.6905484301332763E-7,0.9999997615814209,well_diff
Tile 9173,44526.0,87568.0,9.89218520430768E-8,0.0012987270019948483,0.9987010955810547,well_diff
Tile 9178,44526.0,90128.0,5.688227124565903E-13,6.215940305878687E-13,1.0,well_diff
Tile 9181,44526.0,91664.0,7.558404467999935E-5,7.839353202143684E-5,0.9998459815979004,well_diff
