Name,x,y,normal,undiff,well_diff,Class
Tile 11370,51195.0,24080.0,1.9740666112671394E-15,1.0,2.2937866087465635E-15,undiff
Tile 11372,51195.0,25104.0,6.990000201767543E-6,0.9997815489768982,2.1146790822967887E-4,undiff
Tile 11376,51195.0,27152.0,2.972250223720607E-11,1.0,1.4347179000395727E-10,undiff
Tile 11385,51195.0,31760.0,1.9630294900707668E-7,0.9999996423721313,2.0168292280686728E-7,undiff
Tile 11388,51195.0,33296.0,1.1139689013361931E-4,0.9980574250221252,0.001831156201660633,undiff
Tile 11389,51195.0,33808.0,2.373205331088523E-17,1.0,2.756381529730442E-17,undiff
Tile 11390,51195.0,34320.0,3.848573959519541E-10,1.0,5.3423448775902216E-8,undiff
Tile 11394,51195.0,36368.0,9.311060337505415E-19,1.0,1.0104555053587987E-18,undiff
Tile 11395,51195.0,36880.0,4.2893226748219604E-8,0.9999961853027344,3.771951924136374E-6,undiff
Tile 11396,51195.0,37392.0,5.86370112415971E-20,1.0,7.120675089472488E-20,undiff
Tile 11397,51195.0,37904.0,3.299800149252869E-17,1.0,3.923590284068908E-17,undiff
Tile 11399,51195.0,38928.0,4.01213593200132E-16,1.0,4.496636924946208E-16,undiff
Tile 11408,51195.0,43536.0,0.017747122794389725,0.9736708998680115,0.008582022041082382,undiff
Tile 11409,51195.0,44048.0,0.007376257795840502,0.9790756106376648,0.013548208400607109,undiff
Tile 11411,51195.0,45072.0,1.1438598438236353E-20,1.0,1.3748142446240525E-20,undiff
Tile 11418,51195.0,48656.0,0.006847831420600414,0.9061691164970398,0.08698300272226334,undiff
Tile 11419,51195.0,49168.0,1.8911130325008525E-14,1.0,3.138107991778466E-14,undiff
Tile 11420,51195.0,49680.0,7.318917065284036E-13,1.0,8.321719507063674E-13,undiff
Tile 11423,51195.0,51216.0,3.4608813211101097E-12,1.0,3.65172605695796E-12,undiff
Tile 11430,51195.0,54800.0,6.644366344981119E-28,1.0,9.042467385666538E-28,undiff
Tile 11431,51195.0,55312.0,5.233846690458619E-17,1.0,5.856937030476438E-17,undiff
Tile 11442,51195.0,60944.0,1.959230304035553E-12,1.0,1.6840462357947672E-9,undiff
